#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
131,Clean Air,The Southern University Jazz Ensemble,10,119,,,Goes To Africa With Love,6/9/1973,5:14,44,51,78,0,60,0,10,-11,C Major,4,7/13/2023,5SJavF0M3QrkB7whhdiaOQ,Now Again Records,8B,https://p.scdn.co/mp3-preview/ea6f3123dc84c9195ec8fe792e6b4bcd3a885d71?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851daa395549f3cc2498925d259
132,Thursday,Who Is She?,0,161,diy pop punk,Rock,MoviePass,6/21/2023,3:13,45,67,67,0,72,0,20,-8,B Major,4,7/14/2023,4bwAltwDooe1b8Voag8yL7,Father/Daughter Records,1B,,https://i.scdn.co/image/ab67616d00004851cb00f95de6cd83c117e77a14
133,Porque Yo,"Pahua,Eva de Marce",40,94,tropical alternativo,Latin,Porque Yo,1/27/2023,3:01,75,82,35,3,52,10,10,-7,A Minor,4,7/17/2023,2eqLgrPkcSTgCvxEtsymiz,Nacional Records,8A,https://p.scdn.co/mp3-preview/c522a3565e9c3af3db7758c87447dd13080b8567?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a4e218fec06ba5ce5e36790e
134,Little Butterfly,Nina Kohout,10,128,,,Little Butterfly,5/31/2023,4:01,44,47,24,1,4,0,10,-8,A#/B♭ Minor,4,7/18/2023,1DA31KchOtIgLkRknWckxy,Deadred Records,3A,https://p.scdn.co/mp3-preview/47e8ac71f88f1e179c5de962a2e188bcdb6c1826?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513aef85896263fb0afa04e232
135,Give It Up For Love,Georgia,34,97,uk alternative pop,Pop,Give It Up For Love,6/13/2023,3:58,51,85,8,0,59,0,30,-5,F Major,4,7/19/2023,6EORs2L1KC83EyRdyR85da,Domino Recording Co,7B,https://p.scdn.co/mp3-preview/7d430669abdade1d2ad8688d36438d9ebf201d90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fef4812a5d7bffd425a51325
136,Luna,Roosevelt,51,109,"indie emo, nu disco, shiver pop","Rock, R&B, Pop",Luna,6/21/2023,3:42,64,93,1,5,80,0,10,-6,B Minor,4,7/20/2023,37q95xoPlZZzzymKJmEFIB,Counter Records,10A,https://p.scdn.co/mp3-preview/ca79c517ad34bb28cd4ee2a71d41476971d43279?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485189b00152803b501b479c7603
137,Mother,"George FitzGerald,SYML",42,116,"electronica, future garage, indie anthem-folk, modern indie pop","Electronic, Folk/Acoustic, Pop",Mother,4/19/2023,3:41,60,62,61,90,23,0,10,-8,F Minor,4,7/21/2023,0GAr2dDEqEXqlhQzvyZTsK,Double Six Records,4A,https://p.scdn.co/mp3-preview/2cbf94f58096695091e8328470b73f15a9e6b9a1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b9bd2cfb5c7365261ed6f58c
138,Escalera Infinita,Escuela de Aviación,6,120,,,Fábrica de Uniformes,6/30/2023,4:02,79,47,0,10,88,0,30,-15,C Major,4,7/24/2023,3YzBOTYG47fDVviXB3d7FZ,Flexidiscos,8B,https://p.scdn.co/mp3-preview/42d441ba5901ba7e2561d5855ccf98e435d8f345?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a3bc8d92325d7ecd34d9290a
139,Kette,"Carlo Onda,Blanche Biau",24,125,"dark synthpop, ",Pop,Kette,6/16/2023,3:48,69,88,31,80,88,0,0,-6,E Minor,4,7/27/2023,35a3OwvjrtUbBKpAzmcLT0,Cold Transmission Music,9A,https://p.scdn.co/mp3-preview/3b065d9a6a0ed50aa44897c6a6805fcab74174b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851958788fc386315c25d440467
140,Superposition,Neu-Romancer,9,120,,,Neue Romantika,1/23/2023,6:45,59,67,0,82,74,0,0,-8,C Major,4,7/26/2023,6SXC9quCyNja0g73yP7G9F,Fleisch Records,8B,https://p.scdn.co/mp3-preview/d5d4df02a24360d0f059d84d657613d945fba874?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e6aea5a7041b871f348b2ebe
