#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
221,"Grand cheval","Corridor",0,110,"indie quebecois","Blues","Junior",2019-10-18,03:52,61,69,5,33,52,0,10,-7,A Minor,4,2019-11-13,3WBF3vdtp4GUU6T0iaIpKN,"Sub Pop Records",8A,,https://i.scdn.co/image/ab67616d000048512a82315e06ae3cdfd66257c2
222,"Petty Thieving","FEET",29,175,"crank wave, english indie rock","Rock","What's Inside is More Than Just Ham",2019-10-04,04:01,41,88,0,0,44,0,10,-4,C Major,4,2019-11-14,6Hd5KGBKMA7DMIqFBorgw8,"Clapped Records",8B,https://p.scdn.co/mp3-preview/e30c059172f1982c051b96553139f69f2a7e9b32?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf78f979b87b61327b2201ad
223,"Turn Up the Radio","Jenn Champion,Victor Le Masne",0,130,"seattle indie, ","Rock","Turn Up the Radio",2019-08-21,03:18,76,50,7,0,85,0,0,-8,C♯/D♭ Major,4,2019-11-15,68q8Feq2Sb81ouh6NpciI4,"Hardly Art",3B,,https://i.scdn.co/image/ab67616d000048512928dd73b7ad9042f836d45a
224,"Steep Angles","Carter Tanton",0,173,"","","Steep Angles",2021-02-23,04:09,30,39,32,1,17,0,0,-9,F#/G♭ Minor,3,2019-11-18,4SdsDftYDF1vaZ4oiKX5Gj,"Western Vinyl",11A,,https://i.scdn.co/image/ab67616d000048513c017c5434adf3677d57dbb3
225,"You shine on me","HOLY,Boys",0,135,"neo-psychedelic, stockholm indie, umea indie","Folk/Acoustic, Pop, New age","You shine on me",2019-10-04,04:52,39,65,0,0,28,0,30,-9,A#/B♭ Major,4,2019-11-19,0xYJP9KGtmIw0ypRPeowj1,"PNKSLM Recordings",6B,,https://i.scdn.co/image/ab67616d000048518973e78a17a06e9d446dc4f2
226,"Confessions","Sudan Archives",0,102,"afrofuturism, alternative r&b, experimental r&b, indie soul, la pop","R&B, Pop","Athena",2019-11-01,02:53,54,40,4,0,28,0,10,-6,D Major,4,2019-11-20,1F9PIPNJBm53MvB6QCDQFn,"Stones Throw",10B,,https://i.scdn.co/image/ab67616d00004851b5cbf49d2e26a866b7253d1e
227,"Leisure Time","Eyesore & the Jinx",0,96,"uk post-punk revival","Rock","Leisure Time",2019-09-24,02:49,63,56,0,6,77,0,10,-8,A#/B♭ Minor,4,2019-11-21,0JnsAiKvfbyeQ3lcUMW0Hc,"Eggy Records",3A,,https://i.scdn.co/image/ab67616d0000485157295c5e4c00a3e92d9a6f6e
228,"Crows","Sera Cahoone,Tomo Nakayama",17,112,"indie folk, ","Folk/Acoustic","Crows",2019-10-15,03:32,68,57,59,0,85,0,0,-8,D Major,4,2019-11-23,3dpqNaj9THnD9X6UPks2FV,"Sera Cahoone & Tomo Nakayama",10B,https://p.scdn.co/mp3-preview/108de59002db09b8caa93ba5d0e250759dee8e2f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511a4fcb4471fdf2c20e0afb87
229,"charlie","Oso Oso",24,170,"alternative emo, bubblegrunge, emo, indie punk, midwest emo","Rock","basking in the glow",2019-08-16,04:36,41,54,13,0,14,0,10,-6,F#/G♭ Major,4,2019-11-25,7uNvxmsrzh4AKlTyznpL5e,"Triple Crown Records",2B,https://p.scdn.co/mp3-preview/40eddd415a5055ac525a243bbafacb740e8550c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514bb096b9cc76e7342fe65a8d
230,"conventional ride","Marika Hackman",16,130,"ambient folk","Folk/Acoustic","Any Human Friend",2019-08-09,04:10,55,83,0,8,44,0,10,-7,F Major,4,2019-11-26,2s30KXFLxnyH9CHKoO3Yum,"AMF Records",7B,https://p.scdn.co/mp3-preview/217c2a65b1d740f6c6451a0e1dabe66228afac75?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c31ba58654a34867087b85f
