#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
1,Backseat Heart,Ablebody,0,132,,,Adult Contemporaries,10/14/2016,4:57,62,77,1,13,71,0,10,-5,C♯/D♭ Minor,4,3/2/2017,7FeFr1Z58fPV8ZRJ20mTU3,Lolipop Records,12A,,https://i.scdn.co/image/ab67616d000048512f5e5a23cab1180d51f6b528
2,Falling Out,Real Numbers,0,119,,,Wordless Wonder,10/14/2016,3:41,49,76,76,25,76,0,0,-4,G Major,4,3/2/2017,3AR502ACz3STxT6MXoi61h,Slumberland Records,9B,,https://i.scdn.co/image/ab67616d0000485103b68e0e127dfe462133a9de
3,Get Closer,Gringo Star,5,147,atlanta indie,Rock,The Sides and in Between,8/26/2016,3:26,37,92,1,0,73,0,10,-4,C♯/D♭ Major,4,3/2/2017,4iL7zXw2cRoMmtprZHtqgr,Nevado,3B,https://p.scdn.co/mp3-preview/cdf4235bc3309a109485a0fc20d89501f29f5a04?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a8e1895927e188881834cc0f
4,Aeons,Chemtrails,0,170,london indie,Rock,Aeons,9/29/2016,3:31,27,91,0,80,45,0,10,-4,G Major,4,3/2/2017,7u0h3YWV24zGDMmmALRlzN,PNKSLM Recordings,9B,,https://i.scdn.co/image/ab67616d000048510dc8f64df8def373e42a58d8
5,Hollow,Desperate Journalist,2,140,garage psych,Folk/Acoustic,Hollow,10/14/2016,5:44,51,68,0,37,18,0,10,-9,E Minor,4,3/2/2017,4yHQh6RLjLI7CjG4QZerK5,Fierce Panda,9A,https://p.scdn.co/mp3-preview/b759593c30da1975e1461263421232184fdf7a71?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851308c2da38ed955ac43011250
6,Queens,La Sera,0,162,noise pop,Pop,Queens,9/30/2016,4:13,42,68,2,51,71,0,30,-8,D Major,4,3/2/2017,3HUXLuczKe0WcmP8pFT3mO,Polyvinyl Records,10B,,https://i.scdn.co/image/ab67616d000048511278dcebc92cc70a41f8dc4b
7,(we used to feel) Higher,Little Children,0,94,swedish indie folk,Folk/Acoustic,(we used to feel) Higher,10/7/2016,3:59,57,62,23,11,35,0,10,-6,G Major,4,3/2/2017,2cScCkHrTfqDE021rp6eBf,Cosmos,9B,,https://i.scdn.co/image/ab67616d0000485165d0205928d184e7be9d62c1
8,Buck,SISTERS,0,104,,,Buck,9/14/2016,3:30,70,81,3,29,18,0,10,-6,C♯/D♭ Minor,3,3/2/2017,31GmGs2tXwiGiehnK32OVg,Sisters,12A,,https://i.scdn.co/image/ab67616d000048516ed1ff9a5d0f01ec2e0cdda6
9,Double Infinity,Springtime Carnivore,17,126,la indie,Pop,Midnight Room,10/7/2016,4:52,44,66,39,1,16,0,10,-6,E Major,4,3/2/2017,5DWUocNyE52MnBjUqDLVQ2,Autumn Tone Records,12B,https://p.scdn.co/mp3-preview/2fec98cbd1e3a467224984e28b794e621ab5293a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513525ba2609c82b320a811ce9
10,Julie's Place,Rolling Blackouts Coastal Fever,0,168,"indie rock, modern jangle pop","Rock, Pop",Julie's Place,11/2/2016,3:18,24,88,0,53,61,0,20,-6,B Minor,4,3/3/2017,5ndt9wq61LeGbnWikHKR90,Sub Pop Records,10A,,https://i.scdn.co/image/ab67616d00004851eb4db81496e93b2326632251
