#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Turtledoves","Gingerlys",0,171,"brooklyn indie","Rock","Gingerlys",2017-11-17,02:45,16,93,1,0,21,0,0,-3,C Major,4,2018-01-01,3JBAmufd8JAir4V4C7pH7f,"Topshelf Records",8B,,https://i.scdn.co/image/ab67616d000048515e54cd40410251c4d9664b28
2,"Mustn't Hurry","Fever Ray",0,87,"alternative dance, art pop, dark pop, electronica, neo-synthpop, swedish electropop, swedish synth, swedish synthpop","Rock, Pop, Electronic","Plunge",2017-10-27,04:17,55,61,29,4,41,0,10,-8,A#/B♭ Minor,4,2018-01-02,2FCu7e2VneBBmOL1uLnyCJ,"Rabid Records",3A,,https://i.scdn.co/image/ab67616d00004851503e3ba10146c726b149409c
3,"The Fourth Colour","King Gizzard & The Lizard Wizard",0,131,"australian psych, double drumming, microtonal, neo-psychedelic","Metal, Rock, Classical, Folk/Acoustic","Polygondwanaland",2017-11-17,06:12,28,64,4,30,8,0,30,-10,E Major,4,2018-01-03,4fO1ad3rl3QR1yFY43H8JD,"Heavenly Recordings",12B,,https://i.scdn.co/image/ab67616d000048515bd96a0d54b1880018ee5653
4,"Not Today","Mattiel",0,136,"chamber psych","Folk/Acoustic","Mattiel",2017-09-22,03:38,45,91,15,1,62,0,10,-3,A#/B♭ Minor,4,2018-01-04,6L552ZQgHzuY9ekhRbgSom,"Burger Records",3A,,https://i.scdn.co/image/ab67616d000048512b9a1162777d3624021935d5
5,"How It Feels","Ages and Ages",0,124,"portland indie","Rock","How It Feels",2017-10-06,03:28,68,67,13,80,48,0,10,-8,C Major,4,2018-01-05,5k8XsM8Urd3pPVgqvfSC7e,"Partisan Records",8B,,https://i.scdn.co/image/ab67616d000048519d4db8ade471b24389a06569
6,"Blue Field","The Luxembourg Signal",11,136,"c86, garage psych, twee pop","Rock, Folk/Acoustic, Pop","Blue Field",2017-10-13,05:11,43,81,1,1,39,0,30,-6,C Major,4,2018-01-08,64kzwXiCO8PZHycDPXwCul,"Shelflife",8B,https://p.scdn.co/mp3-preview/24f4f2414d6423dc942d06b1c043a967362de0c2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11cc7e026805ba3dbc87458
7,"Saw U Twice","Nabihah Iqbal",29,120,"uk alternative pop","Pop","Weighing of the Heart",2017-12-01,03:38,54,80,0,87,25,0,10,-7,G Major,4,2018-01-10,28sE9k1EVfSx9manhAqCIa,"Ninja Tune",9B,https://p.scdn.co/mp3-preview/951127094a260e68cd9ca07d7dde96a68e327f0d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515b8adaf13ab359327e9484c1
8,"Fly as I Dare","Shredders,P.O.S,Sims",0,91,"abstract hip hop, minnesota hip hop","Hip Hop","Dangerous Jumps",2017-11-03,03:26,70,74,2,0,45,20,30,-6,C♯/D♭ Major,4,2018-01-11,7zOLoo9ulrUsOMb6YoIll4,"Doomtree Records, LLC",3B,,https://i.scdn.co/image/ab67616d00004851f7250363e72f44596d4552dc
9,"Sprained Ankles","Falon Sierra",0,140,"","","Sprained Ankles",2017-10-02,03:05,64,43,67,0,43,10,0,-6,B Minor,4,2018-01-13,72KQtvoRAzWtTAnSneDB89,"Falon Sierra",10A,,https://i.scdn.co/image/ab67616d0000485145c37ae16cb7014b11954df2
10,"Song of the Highest Tower","Cut Worms",0,107,"modern psychedelic folk","Folk/Acoustic","Song of the Highest Tower",2017-10-12,06:53,57,44,79,0,38,0,10,-6,F Major,4,2018-01-15,0R8xdR9y7LP2gBvRBGGb07,"Jagjaguwar",7B,,https://i.scdn.co/image/ab67616d000048511db088cdb35c3aa25339dcba
11,"Loud Patterns","Makeness",0,130,"fluxwork","Pop","Loud Patterns",2017-10-11,04:06,66,60,0,44,44,0,10,-9,D Major,4,2018-01-16,16juLqtpYLvRCYyrHJVDlf,"Secretly Canadian",10B,,https://i.scdn.co/image/ab67616d000048519abb00e7b5053c6dfd0081ca
12,"What a Time to Be Alive","Superchunk",0,158,"alternative pop, alternative rock, gbvfi, lo-fi, modern power pop, noise pop, post-hardcore, power pop, triangle indie","Pop, Rock","What a Time to Be Alive",2017-11-08,03:45,42,97,0,0,73,0,30,-5,B Minor,4,2018-01-17,0HAtYAUM9GRCLbwuTES3EN,"Merge Records",10A,,https://i.scdn.co/image/ab67616d00004851bfbd2e31d61bcdd4a1350fac
13,"Classics (Die Young)","Roadkill Ghost Choir",0,111,"deep new americana","Country","False Youth Etcetera",2017-10-27,04:40,46,74,1,7,30,0,10,-7,D Major,4,2018-01-18,7JtvrrsA0Pc4U4JOvoRQjB,"Freakout Records",10B,,https://i.scdn.co/image/ab67616d0000485144b273e9d9eedd21bb8db863
14,"Stones","Alyeska",2,139,"","","Stones",2017-10-06,04:13,48,93,2,9,60,0,10,-5,G Major,4,2018-01-19,3qiPDDmlTOiwDpDcINGDzX,"Unsatisfied Records",9B,https://p.scdn.co/mp3-preview/eab69d77080137382441188ab2664bbb483bfb99?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517dfbe4694d97635dd6a3bacc
15,"The Opener","Camp Cope",0,97,"aussie emo, australian indie, bubblegrunge, diy emo, melbourne indie","Rock, Electronic","The Opener",2017-11-17,03:40,57,76,30,0,76,0,10,-6,G Major,4,2018-01-22,1rcqDKjEWd076NFJiP0weZ,"Run For Cover Records, LLC",9B,,https://i.scdn.co/image/ab67616d000048513c7659f8a59ee80256da3dfd
