#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
175,Where Were You...,"Manny Noir,Psychedelic Ensemble. ",4,139,,,Nocturne,6/11/2022,3:28,74,95,55,0,32,20,10,-2,F Major,4,9/8/2022,32pgaSanEWd9UYr2BCT035,Everything Is Perfect Records / LIVE AT THE CLINIC,7B,https://p.scdn.co/mp3-preview/ef332d2a53c842fcb73ab0ae843964831ac4a7c3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c6163e6aaaa3688d1480d1a
176,Vacuum,Beverly Crusher,2,103,seattle indie,Rock,Waste of Waves,8/12/2022,2:44,27,93,0,0,28,0,10,-3,A Major,4,9/9/2022,7fT1KLz4mrJ8A7yOs8WdsZ,Freakout Records,11B,https://p.scdn.co/mp3-preview/40da259195644bd539751d4ded0674963fcef2c3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176fa0d42f02d66eb762939ed
177,Aprendiendo por las Malas,Doris Anahí,16,100,,,Aprendiendo por las Malas,7/15/2022,3:13,55,25,71,0,30,0,10,-12,D Minor,4,9/12/2022,0E1feCwQ9JoJ9jw5M6CcQF,Casa Mija,7A,https://p.scdn.co/mp3-preview/f5e97af7f2fddab5c606320475ec805d07416f82?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a95e21d654069b466a7d0f8e
178,quien te llamo,mediopicky,11,93,dominican indie,Latin,mediopicky,6/30/2022,3:16,32,86,2,57,13,0,20,-3,C Major,4,9/13/2022,0ZqFZHOE8PkcjstuPbZGMe,Salsa Fegol,8B,https://p.scdn.co/mp3-preview/bb7f3b0d45d1fdd215f0048547542b265cbb7aa9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514ee77345a033ebf27886f4e0
179,Archetype,Omar Apollo,0,92,"bedroom pop, bedroom soul","Pop, R&B",Archetype,7/15/2022,2:48,68,34,37,0,32,0,40,-8,A Major,4,9/14/2022,0TZaULNHuHvwyZOivhzc7g,Warner Records,11B,,https://i.scdn.co/image/ab67616d000048518a71f6704999ad3a0f601e62
180,Metamorfosis,"Meridian Brothers,Grupo El Renacimiento",14,112,"latin afrobeat, latintronica, ","Latin, Electronic",Meridian Brothers & El Grupo Renacimiento,8/5/2022,4:55,84,70,51,1,92,0,10,-9,D#/E♭ Major,4,9/15/2022,6Li5taPhgZutEZj2algIjZ,Ansonia Records,5B,https://p.scdn.co/mp3-preview/48e5f0121385fb98d31402ba773556b0738fedfa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0bbb3c19ce4e56e3a038dbf
181,The Process of Dying,Nada Rosa,8,84,,,The Process of Dying,2/22/2021,2:37,31,22,59,69,11,0,0,-12,B Major,4,9/16/2022,5e1LFUnLKy5eNnfBVagwve,OTHERWORLDS,1B,https://p.scdn.co/mp3-preview/5abe2d56fd29b99bdceddb9c72a1edc75b228f90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485170b39d08bba2396cf0565883
182,Asked For Light,Kingsley Ibeneche,1,122,,,Asked For Light,8/5/2022,4:18,62,56,49,0,27,0,20,-9,C Major,4,9/19/2022,3PdPNBKvjSaASO1Qze5pyY,Dirty Deity,8B,https://p.scdn.co/mp3-preview/7da2270045b0ee0d0abf8acec5dd484c0b79da3e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c377a0bce640582b6f070564
183,"Here, Alive (Spirits High)",Mystic,2,91,,,Dreaming In Cursive: The Girl Who Loved Sparklers,8/26/2022,4:37,48,53,14,0,16,30,50,-12,C♯/D♭ Minor,4,9/20/2022,0RGWTlVk3m3oxPBNrBKinw,Beautifull Soundworks,12A,https://p.scdn.co/mp3-preview/2fefe789888e8d569f5f4afe64438b2d9abc5957?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f9a6f5391d5ec7f385e22e7
184,6:00 AM,Son Little,36,137,"neo r&b, soul",R&B,Like Neptune,9/9/2022,3:50,42,47,38,0,23,10,20,-8,B Major,4,9/21/2022,5frJ2iO0fDjeAVHlg9Z62T,Anti/Epitaph,1B,https://p.scdn.co/mp3-preview/747d9fb5daff095c3a900d6b35cb3b01270193db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e8958a117cda0d3b5c474bf8
